Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no,,Refactor,if no ( reason)
group13,com.group13.academicplannerbackend.config,JWTRequestFilter,doFilterInternal,Long Identifier,The length of the identifier usernamePasswordAuthenticationToken is 35.,31,,yes,
group13,com.group13.academicplannerbackend.config,JWTRequestFilter,doFilterInternal,Long Statement,"The length of the statement ""UsernamePasswordAuthenticationToken usernamePasswordAuthenticationToken=new UsernamePasswordAuthenticationToken(userDetails`null`userDetails.getAuthorities());"" is 159.",31,,No,"In this statement, the class as well as variable names are long for easier understandability. The method itself only accepts 3 params, so there is no scope for breaking this down further without making the names shorter (which would compromise readability)."
group13,com.group13.academicplannerbackend.config,JWTRequestFilter,doFilterInternal,Magic Number,The method contains a magic number: 7,31,,yes,
group13,com.group13.academicplannerbackend.config,MailConfig,javaMailSender,Magic Number,The method contains a magic number: 587,16,,yes,
group13,com.group13.academicplannerbackend.config,SecurityConfig,configure,Long Statement,"The length of the statement ""httpSecurity.csrf().disable().authorizeRequests().antMatchers(""/auth/login""`""/auth/signup""`""/verify"").permitAll().anyRequest().authenticated().and().exceptionHandling().authenticationEntryPoint(jwtAuthenticationEntryPoint).and().sessionManagement().sessionCreationPolicy(SessionCreationPolicy.STATELESS);"" is 304.",50,,No,"Here, Spring security provides a chain of functions (like builder) for matching the rules of securing the APIs. The readability has been improved by writing each function call on a new line, but it could not be broken into seperate statements."
group13,com.group13.academicplannerbackend.controller,UserController,updateProfileStatus,Long Statement,"The length of the statement ""return ResponseEntity.status(HttpStatus.INTERNAL_SERVER_ERROR).body(""Failed to update profile status: "" + e.getMessage());"" is 122.",40,,yes,
group13,com.group13.academicplannerbackend.controller,VerificationController,verify,Long Statement,"The length of the statement ""responseBody=""<!DOCTYPE html><html><head><title>Email Verification</title></head><body><h1>Email verification successful</h1><p>Please <a href='/auth/login'>log in</a> to continue.</p></body></html>"";"" is 200.",18,,No,This is detected as long statement as it contains a long HTML template. It could not be moved to front-end as the user is directly hitting the backend API from the browser for verification. There is limited support for HTML templating in backend.
group13,com.group13.academicplannerbackend.controller,VerificationController,verify,Long Statement,"The length of the statement ""String extraMessage=alreadyVerified ? ""<p>Please <a href='/auth/login'>log in</a> to continue.</p>"" : ""<p>Please <a href='/resend-verification?email="" + email + ""'>resend the verification email</a> and try again.</p>"";"" is 218.",18,,No,"Same reason as above, it is HTML"
group13,com.group13.academicplannerbackend.controller,VerificationController,verify,Long Statement,"The length of the statement ""responseBody=""<!DOCTYPE html><html><head><title>Email Verification</title></head><body><h1>Email verification failed</h1><p>"" + e.getMessage() + "".</p>""+ extraMessage+ ""</body></html>"";"" is 185.",18,,No,"Same reason as above, it is HTML"
group13,com.group13.academicplannerbackend.service.implementation,EventServiceImplementation,rescheduleVariableEvents,Long Statement,"The length of the statement ""LocalDateTime scheduledDateTime=findStartTimeForVariableEvent(variableEvent`fixedEventDTOs`currentDateTime`variableEvent.getDeadline());"" is 136.",127,,No,"In this case, method name is very long but it only takes 2 params. So there is no scope of reducing number of characters without making methods shorter (which would compromise on readability)."
group13,com.group13.academicplannerbackend.service.implementation,EventServiceImplementation,rescheduleVariableEvents,Magic Number,The method contains a magic number: 2030,127,,yes,
group13,com.group13.academicplannerbackend.service.implementation,EventServiceImplementation,rescheduleVariableEvents,Magic Number,The method contains a magic number: 12,127,,yes,
group13,com.group13.academicplannerbackend.service.implementation,EventServiceImplementation,rescheduleVariableEvents,Magic Number,The method contains a magic number: 31,127,,yes,
group13,com.group13.academicplannerbackend.service.implementation,EventServiceImplementation,variableEventToDTO,Long Statement,"The length of the statement ""varEventDTO.setEndDate(variableEvent.getSchedule().getScheduledDateTime().plus(variableEvent.getDuration()).toLocalDate());"" is 123.",158,,No,"Again, method names are long here, and they are being chained on each other to add dates, increasing the character count of statement. The chaining of functions is a functionality provided by Java's date API, and it looks understandable."
group13,com.group13.academicplannerbackend.service.implementation,EventServiceImplementation,variableEventToDTO,Long Statement,"The length of the statement ""varEventDTO.setEndTime(variableEvent.getSchedule().getScheduledDateTime().plus(variableEvent.getDuration()).toLocalTime());"" is 123.",158,,No,"Again, this is due to long method names"
group13,com.group13.academicplannerbackend.service.implementation,EventServiceImplementation,getEvents,Long Statement,"The length of the statement ""List<VariableEvent> variableEvents=variableEventRepository.findAllByStartDateOrEndDateBetweenDates(firstDateTime`secondDateTime`principal.getName());"" is 149.",210,,No,Same reason as above
group13,com.group13.academicplannerbackend.service.implementation,EventServiceImplementation,getFixedEvents,Complex Conditional,The conditional expression repititionType == RepititionType.DAILY || (repititionType == RepititionType.WEEKLY && e.getRepeatEvent().getWeeklyRepeatDays()[date1.plusDays(i).getDayOfWeek().getValue() % 7]) is complex.,250,,yes,
group13,com.group13.academicplannerbackend.service.implementation,EventServiceImplementation,getFixedEvents,Long Identifier,The length of the identifier daysDifferenceBetweenStartAndEndDate is 36.,250,,yes,
group13,com.group13.academicplannerbackend.service.implementation,EventServiceImplementation,getFixedEvents,Long Identifier,The length of the identifier daysDifferenceBetweenDate1AndDate2 is 34.,250,,yes,
group13,com.group13.academicplannerbackend.service.implementation,EventServiceImplementation,getFixedEvents,Long Statement,"The length of the statement ""List<FixedEvent> events=fixedEventRepository.findAllNonRepeatingByStartDateOrEndDateBetweenDates(firstDate`secondDate`principal.getName());"" is 139.",250,,No,Same reason as above
group13,com.group13.academicplannerbackend.service.implementation,EventServiceImplementation,getFixedEvents,Long Statement,"The length of the statement ""List<FixedEvent> repeatingEvents=fixedEventRepository.findAllRepeatingByEndDateGreaterThanDate(firstDate`principal.getName());"" is 126.",250,,No,Same reason as above
group13,com.group13.academicplannerbackend.service.implementation,EventServiceImplementation,getFixedEvents,Long Statement,"The length of the statement ""LocalDate date1=(e.getStartDate().isEqual(firstDate) || e.getStartDate().isAfter(firstDate)) ? e.getStartDate() : firstDate.minusDays(daysDifferenceBetweenStartAndEndDate);"" is 172.",250,,yes,
group13,com.group13.academicplannerbackend.service.implementation,EventServiceImplementation,getFixedEvents,Long Statement,"The length of the statement ""if (repititionType == RepititionType.DAILY || (repititionType == RepititionType.WEEKLY && e.getRepeatEvent().getWeeklyRepeatDays()[date1.plusDays(i).getDayOfWeek().getValue() % 7])) {"" is 183.",250,,yes,
group13,com.group13.academicplannerbackend.service.implementation,EventServiceImplementation,getFixedEvents,Long Statement,"The length of the statement ""List<EventDTO> eventDTOs=events.stream().map(event -> modelMapper.map(event`EventDTO.class)).peek(eventDTO -> eventDTO.setEventType(EventType.FIXED)).collect(Collectors.toList());"" is 179.",250,,no,"This is due to chain of method calls, readability has been increased by splitting them on multiple lines but statement length is still showing as long."
group13,com.group13.academicplannerbackend.service.implementation,EventServiceImplementation,getFixedEvents,Magic Number,The method contains a magic number: 7,250,,yes,
group13,com.group13.academicplannerbackend.service.implementation,EventServiceImplementation,findStartTimeForVariableEvent,Complex Conditional,The conditional expression (startDateTime.isEqual(fixedEventStart) || startDateTime.isAfter(fixedEventStart)) && startDateTime.isBefore(fixedEventEnd) || (potentialEndTime.isAfter(fixedEventStart) && potentialEndTime.isBefore(fixedEventEnd)) || (startDateTime.isBefore(fixedEventStart) && potentialEndTime.isAfter(fixedEventEnd)) is complex.,288,,yes,
group13,com.group13.academicplannerbackend.service.implementation,EventServiceImplementation,findStartTimeForVariableEvent,Complex Conditional,The conditional expression slotFound && (potentialEndTime.isBefore(variableEvent.getDeadline()) || (potentialEndTime.isEqual(variableEvent.getDeadline()))) is complex.,288,,yes,
group13,com.group13.academicplannerbackend.service.implementation,EventServiceImplementation,findStartTimeForVariableEvent,Long Statement,"The length of the statement ""if ((startDateTime.isEqual(fixedEventStart) || startDateTime.isAfter(fixedEventStart)) && startDateTime.isBefore(fixedEventEnd) || (potentialEndTime.isAfter(fixedEventStart) && potentialEndTime.isBefore(fixedEventEnd)) || (startDateTime.isBefore(fixedEventStart) && potentialEndTime.isAfter(fixedEventEnd))) {"" is 309.",288,,yes,
group13,com.group13.academicplannerbackend.service.implementation,EventServiceImplementation,findStartTimeForVariableEvent,Long Statement,"The length of the statement ""if (slotFound && (potentialEndTime.isBefore(variableEvent.getDeadline()) || (potentialEndTime.isEqual(variableEvent.getDeadline())))) {"" is 135.",288,,yes,
group13,com.group13.academicplannerbackend.service.implementation,VerificationServiceImplementation,sendVerificationEmail,Long Statement,"The length of the statement ""String verificationUrl=String.format(""0.0.0.0:%d/verify?email=%s&code=%s""`serverPort`user.getEmail()`verificationCode.getCode());"" is 129.",67,,yes,
group13,com.group13.academicplannerbackend.util,JWTUtil,generateToken,Long Statement,"The length of the statement ""return Jwts.builder().setClaims(claims).setSubject(userDetails.getUsername()).setIssuedAt(new Date(System.currentTimeMillis())).setExpiration(new Date(System.currentTimeMillis() + expirationInMillis)).signWith(SignatureAlgorithm.HS256`secret).compact();"" is 253.",24,,yes,
,,,,,,,,,
